kms_driven,owner,age,power,brand,actual_price,predicted_price
12185.0,1,7.0,150.0,6.0,35000.0,36665.0
46000.0,1,12.0,100.0,6.0,20000.0,18043.0
23000.0,1,5.0,220.0,7.0,65000.0,67626.0
19249.0,1,2.0,350.0,2.0,130000.0,148731.0
15000.0,1,6.0,180.0,7.0,40000.0,57386.62
8000.0,1,2.0,125.0,10.0,111300.0,131543.0
29000.0,1,5.0,500.0,2.0,132100.0,129637.0
8000.0,2,14.0,600.0,5.0,500000.0,379915.46
31000.0,1,7.0,350.0,2.0,85000.0,85224.60366666668
21000.0,1,14.0,125.0,7.0,20000.0,17048.02
36000.0,1,6.0,125.0,5.0,34400.0,32918.0
56113.0,1,11.0,150.0,4.0,16500.0,27315.0
16150.0,2,8.0,650.0,14.0,230000.0,258591.17
25000.0,1,4.0,400.0,7.0,100000.0,110670.0
22398.0,1,5.0,100.0,7.0,21500.0,25917.0
35000.0,2,5.0,150.0,7.0,35000.0,37826.0
40500.0,1,8.0,500.0,2.0,95000.0,104975.21
14354.0,1,3.0,350.0,2.0,120000.0,104020.0
14403.0,1,5.0,390.0,10.0,106000.0,127941.0
34721.0,1,9.0,150.0,4.0,56000.0,27422.0
10000.0,1,3.0,350.0,2.0,115000.0,98620.0
750.0,1,4.0,350.0,2.0,146300.0,129863.0
7000.0,1,5.0,500.0,2.0,175000.0,153654.93
46007.0,1,13.0,223.0,6.0,20000.0,31791.49
5500.0,1,3.0,100.0,6.0,50000.0,41440.0
47293.0,1,5.0,125.0,5.0,30000.0,36061.0
27044.0,1,6.0,500.0,2.0,130000.0,114190.0
7578.0,1,9.0,160.0,1.0,35000.0,36384.0
20000.0,1,7.0,220.0,7.0,58000.0,58812.0
60000.0,1,9.0,150.0,6.0,25000.0,27654.0
23500.0,1,7.0,220.0,7.0,51100.0,44591.0
34304.0,1,11.0,220.0,7.0,20000.0,30692.0
2400.0,1,4.0,150.0,7.0,80000.0,60363.33333333333
35720.0,1,9.0,125.0,7.0,24000.0,20719.98
37066.0,2,16.0,100.0,7.0,10000.0,15264.54
1608.0,1,2.0,350.0,2.0,133500.0,157356.0
21493.0,1,16.0,125.0,7.0,8000.0,16734.55
22397.0,1,5.0,100.0,7.0,23000.0,25917.0
9700.0,1,4.0,250.0,4.0,108000.0,96802.16
20440.0,1,11.0,220.0,7.0,29000.0,24884.0
19000.0,1,6.0,223.0,6.0,65000.0,58410.0
39500.0,1,8.0,220.0,7.0,44600.0,48442.59416666667
27116.0,1,11.0,100.0,6.0,25000.0,19003.166666666664
22000.0,1,3.0,400.0,7.0,140000.0,141340.0
55000.0,2,11.0,150.0,7.0,16400.0,25304.99
3607.0,1,4.0,125.0,6.0,55000.0,54142.94
18000.0,1,5.0,100.0,6.0,33000.0,30050.0
43000.0,1,9.0,125.0,5.0,21000.0,22065.7
14000.0,1,8.0,220.0,7.0,35000.0,51459.0
17299.0,1,12.0,223.0,6.0,16979.0,25611.26
38561.0,1,5.0,220.0,7.0,47000.0,49325.0
24669.0,2,10.0,150.0,7.0,33000.0,22475.916666666664
10741.0,1,4.0,160.0,5.0,70000.0,63488.857142857145
5469.0,1,3.0,100.0,6.0,49000.0,41510.0
40000.0,1,9.0,100.0,6.0,34000.0,23476.28
25000.0,1,5.0,125.0,5.0,53000.0,34440.0
